Time,Discipline,Event,Phase / Unit,Status,Venue,Medal,ResCode
2026-09-16T10:00:00+09:00,Modern Pentathlon,Women's Individual,"Women's Individual, Fencing Seeding Round",Official,Anjo Sports Park,0,W.INDIVID-----------.RANK.0001FE--
2026-09-16T10:00:00+09:00,Basketball,Men,Men Quarterfinals Game 3,Official,Aichi International Arena,,M.TEAM5-------------.QFNL.000300--
2026-09-16T13:00:00+09:00,Volleyball,Women,Match 1,Official,Park Arena Komaki,0,W.TEAM6-------------.GPD-.000100--
2026-09-16T13:00:00+09:00,Volleyball,Women,Match 4,Official,Okazaki Chuo Sogo Park Gymnasium,0,W.TEAM6-------------.GPB-.000100--
2026-09-16T13:00:00+09:00,Basketball,Men,Men Quarterfinals Game 4,Official,Aichi International Arena,,M.TEAM5-------------.QFNL.000400--
2026-09-16T14:00:00+09:00,Football,Men,Men Group B,Official,WAVE STADIUM KARIYA,,M.TEAM11------------.GPB-.000100--
2026-09-16T14:30:00+09:00,Modern Pentathlon,Men's Individual,"Men's Individual, Fencing Seeding Round",Official,Anjo Sports Park,0,M.INDIVID-----------.RANK.0001FE--
2026-09-16T16:00:00+09:00,Volleyball,Women,Match 2,Official,Park Arena Komaki,0,W.TEAM6-------------.GPD-.000200--
2026-09-16T16:00:00+09:00,Volleyball,Women,Match 5,Official,Okazaki Chuo Sogo Park Gymnasium,0,W.TEAM6-------------.GPC-.000100--
2026-09-16T16:00:00+09:00,Football,Men,Men Group A,Official,TOYOTA STADIUM,,M.TEAM11------------.GPA-.000100--
2026-09-16T16:00:00+09:00,Basketball,Men,Men Quarterfinals Game 2,Official,Aichi International Arena,,M.TEAM5-------------.QFNL.000200--
2026-09-16T19:00:00+09:00,Volleyball,Women,Match 6,Official,Okazaki Chuo Sogo Park Gymnasium,0,W.TEAM6-------------.GPC-.000200--
2026-09-16T19:00:00+09:00,Football,Men,Men Group B,Official,WAVE STADIUM KARIYA,,M.TEAM11------------.GPB-.000200--
2026-09-16T19:20:00+09:00,Volleyball,Women,Match 3,Official,Park Arena Komaki,0,W.TEAM6-------------.GPA-.000100--
2026-09-16T19:20:00+09:00,Basketball,Men,Men Quarterfinals Game 1,Official,Aichi International Arena,,M.TEAM5-------------.QFNL.000100--
2026-09-16T19:30:00+09:00,Football,Men,Men Group A,Official,TOYOTA STADIUM,,M.TEAM11------------.GPA-.000200--
